scenario,seed,method,requestCount,completedCount,routedCount,averageQuality,p95EndToEndTtftMs,p95QueueWaitMs,loadGini,completionRate,nonCongestedRate
S3,53,cheapest-eligible,2000,2000,2000,0.8596343250000207,16535.27441269472,12723.345182283076,0.22809928999284185,1,0.197
S3,53,irt-router-style,2000,2000,2000,0.8671918249999939,53927.65149968849,0,0.22802494213256988,1,1
S3,53,mixllm-style,2000,2000,2000,0.8596473250000206,16535.27441269472,12723.345182283076,0.2280992873630881,1,0.198
S3,53,openrouter-performance-style,2000,2000,2000,0.8615648250000308,16535.27441269472,12723.345182283076,0.22809888291684147,1,0.3455
S3,53,least-loaded-eligible,2000,2000,2000,0.8658553249999923,53927.65149968849,0,0.2280229338601062,1,1
S1,71,ours,2000,2000,2000,0.852444075000007,51301.16228005924,0,0.2252126682859234,1,1
S1,71,best-single,2000,1345,1345,0.8500000000000049,97962.96122211196,44597.49290847452,0.22523599596667176,0.6725,0.23643122676579925
S1,71,cheapest-eligible,2000,2000,2000,0.8509987750000032,11488.377758523524,8240.218678770078,0.22522244456541327,1,0.6725
S1,71,irt-router-style,2000,2000,2000,0.8655720249999939,96541.77063081117,43427.42341277139,0.22523621457439952,1,0.323
S1,71,mixllm-style,2000,2000,2000,0.8531052750000152,7061.757277119438,3028.7719675138196,0.22522073145431176,1,0.836
S1,71,openrouter-performance-style,2000,2000,2000,0.8531307750000152,7061.092021777347,3028.4866409793194,0.22522073586072264,1,0.8365
S1,71,least-loaded-eligible,2000,2000,2000,0.8493280750000062,51301.16228005924,0,0.2252108866214899,1,1
S2,71,ours,2000,2000,2000,0.8534774000000037,51397.56277960598,0,0.22520609183942472,1,1
S2,71,best-single,2000,1326,1326,0.8500000000000063,98562.08167072787,44926.1186204653,0.22524211422421925,0.663,0.248868778280543
S2,71,cheapest-eligible,2000,2000,2000,0.8522268000000044,11472.44108863475,8229.806524294798,0.22522175210687356,1,0.663
S2,71,irt-router-style,2000,2000,2000,0.8665072999999908,96264.07673604212,43530.52209706439,0.22524245614367386,1,0.32
S2,71,mixllm-style,2000,2000,2000,0.8542353000000135,7170.542326019101,3075.4296326900885,0.2252193325302547,1,0.8175
S2,71,openrouter-performance-style,2000,2000,2000,0.8542418000000136,7132.643978948052,3059.175116042254,0.2252193246863016,1,0.818
S2,71,least-loaded-eligible,2000,2000,2000,0.8505324000000031,51397.56277960598,0,0.2252035535467389,1,1
S3,71,ours,2000,2000,2000,0.8546573500000059,51740.90937597527,0,0.22521150793476646,1,1
S3,71,best-single,2000,1285,1285,0.8500000000000094,98377.82669185035,44992.36697224244,0.22523563165798816,0.6425,0.22801556420233463
S3,71,cheapest-eligible,2000,2000,2000,0.8532434500000043,11550.402494580962,8285.732484806806,0.22522266165414906,1,0.6425
S3,71,irt-router-style,2000,2000,2000,0.8673331999999958,95973.35178821902,43420.24741247291,0.2252358856258816,1,0.316
S3,71,mixllm-style,2000,2000,2000,0.8554404500000167,7296.63431917446,3129.5102077098913,0.22522089977967336,1,0.8115
S3,71,openrouter-performance-style,2000,2000,2000,0.8554469500000166,7285.835652516573,3124.878683632179,0.22522089434781614,1,0.812
S3,71,least-loaded-eligible,2000,2000,2000,0.8514368500000049,51740.90937597527,0,0.2252096520816903,1,1
S1,89,ours,2000,2000,2000,0.8563388750000192,11784.852130117577,0,0.2263344527166094,1,0.999
S1,89,best-single,2000,1262,1262,0.8500000000000112,230920.8505723473,175715.49535462316,0.22659598228860095,0.631,0
S1,89,cheapest-eligible,2000,2000,2000,0.8515835750000035,17012.666333586174,12477.726732815549,0.22635305827299268,1,0.3305
S1,89,irt-router-style,2000,2000,2000,0.8658594249999957,225030.83750617647,171698.57671509046,0.2266010943830749,1,0.0305
S1,89,mixllm-style,2000,2000,2000,0.8598463250000224,17012.666333586174,12477.726732815549,0.22634373565914379,1,0.8315
S1,89,openrouter-performance-style,2000,2000,2000,0.8583311750000238,11789.045855709295,0,0.22633335257424317,1,0.9975
S1,89,least-loaded-eligible,2000,2000,2000,0.8583225750000236,11784.852130117577,0,0.2263333565581389,1,0.999
S2,89,ours,2000,2000,2000,0.8562546000000195,11715.259061489438,0,0.22632757811461504,1,1
S2,89,best-single,2000,1235,1235,0.8500000000000134,231386.6544882354,176642.70318816547,0.22670892096334602,0.6175,0
S2,89,cheapest-eligible,2000,2000,2000,0.8515635500000039,17494.655810179695,13192.96694922641,0.22635647833957537,1,0.327
S2,89,irt-router-style,2000,2000,2000,0.8656667999999937,224220.29128988794,170601.64464777062,0.2267165490544554,1,0.0515
S2,89,mixllm-style,2000,2000,2000,0.8598760500000232,17494.655810179695,13192.96694922641,0.22634241893186058,1,0.8275
S2,89,openrouter-performance-style,2000,2000,2000,0.8583219000000246,11715.259061489438,0,0.22632583810035597,1,0.9985
S2,89,least-loaded-eligible,2000,2000,2000,0.8583351000000247,11715.259061489438,0,0.22632575550174006,1,1
S3,89,ours,2000,2000,2000,0.857782275000021,11867.902971823854,0,0.22633354590051913,1,0.999
S3,89,best-single,2000,1227,1227,0.8500000000000141,230255.82706822426,176165.9809215299,0.2265893805182809,0.6135,0
S3,89,cheapest-eligible,2000,2000,2000,0.8533817750000052,17314.405734840122,12978.297310410744,0.22635399081343707,1,0.31
S3,89,irt-router-style,2000,2000,2000,0.8671886249999976,224986.39804474445,171148.90831746554,0.22659524034211564,1,0.0355
S3,89,mixllm-style,2000,2000,2000,0.8614755250000237,17314.405734840122,12978.297310410744,0.22634479306257363,1,0.8035
S3,89,openrouter-performance-style,2000,2000,2000,0.8597120750000251,11869.50777010664,0,0.22633246890190975,1,0.9975
S3,89,least-loaded-eligible,2000,2000,2000,0.8597027250000251,11869.50777010664,0,0.22633246761556183,1,0.999
