scenario,seed,method,requestCount,completedCount,routedCount,averageQuality,p95EndToEndTtftMs,p95QueueWaitMs,loadGini,completionRate,nonCongestedRate
S2,71,cheapest-eligible,2000,2000,2000,0.8522268000000044,11607.129684119931,8289.709322134544,0.22515132118918252,1,0.663
S2,71,irt-router-style,2000,2000,2000,0.8619233000000022,249411.5251530281,197699.91928221853,0.22892062582243772,1,0.391
S2,71,mixllm-style,2000,2000,2000,0.8530953000000131,7315.122986587638,3137.4399559836183,0.22502278311208984,1,0.8155
S2,71,openrouter-performance-style,2000,2000,2000,0.8542307500000135,7320.184305566872,3139.6107444207432,0.2250637561361561,1,0.815
S2,71,least-loaded-eligible,2000,2000,2000,0.8505324000000031,51397.56277960598,0,0.2244712743507669,1,1
S3,71,ours,2000,2000,2000,0.8546478500000059,51740.90937597527,0,0.22476748646242758,1,1
S3,71,best-single,2000,970,970,0.8500000000000144,253076.37277882756,201216.6151098415,0.22761009568611307,0.485,0.04639175257731959
S3,71,cheapest-eligible,2000,2000,2000,0.8532434500000043,11626.490948712166,8332.889834243437,0.22518322661629087,1,0.6425
S3,71,irt-router-style,2000,2000,2000,0.8646569500000016,245284.1379216956,194981.30740287944,0.22759648340515956,1,0.33
S3,71,mixllm-style,2000,2000,2000,0.8554404500000167,7339.669191614194,3147.967768647778,0.2251165554239023,1,0.811
S3,71,openrouter-performance-style,2000,2000,2000,0.8554469500000166,7339.00102693814,3147.681194306421,0.22511635434241808,1,0.8115
S3,71,least-loaded-eligible,2000,2000,2000,0.8514368500000049,51740.90937597527,0,0.22469842328948733,1,1
S1,89,ours,2000,2000,2000,0.8563513750000191,11789.045855709295,0,0.22585790469273045,1,0.9835
S1,89,best-single,2000,497,497,0.8500000000000065,262007.97596743016,208689.86134353094,0.2300180614571925,0.2485,0
S1,89,cheapest-eligible,2000,2000,2000,0.8520051250000047,17042.236955655248,12597.392579657386,0.2265189168345517,1,0.3555
S1,89,irt-router-style,2000,2000,2000,0.8635626250000181,250051.37515233122,199146.62298023325,0.23003018121280405,1,0.401
S1,89,mixllm-style,2000,2000,2000,0.8597866250000226,17042.236955655248,12597.392579657386,0.226190219862966,1,0.8195
S1,89,openrouter-performance-style,2000,2000,2000,0.8583311750000238,11791.434730517296,0,0.22581615077467296,1,0.9815
S1,89,least-loaded-eligible,2000,2000,2000,0.8582572250000233,11791.434730517296,0,0.22582363134886135,1,0.984
S2,89,ours,2000,1999,1999,0.8562536768384387,11765.893407334494,0,0.2256097154864724,0.9995,0.966983491745873
S2,89,best-single,2000,391,391,0.8500000000000021,263068.1973443158,209925.9162471576,0.23051924213053387,0.1955,0
S2,89,cheapest-eligible,2000,1999,1999,0.8522207603801956,17650.7910621981,13308.74909877586,0.2266315023212372,0.9995,0.3646823411705853
S2,89,irt-router-style,2000,1998,1998,0.8631359359359562,247809.93111145488,197449.33697806892,0.23050385398088064,0.999,0.44644644644644643
S2,89,mixllm-style,2000,1999,1999,0.8532962981490834,17650.7910621981,13334.16904916319,0.22656256687288231,0.9995,0.42471235617808906
S2,89,openrouter-performance-style,2000,1999,1999,0.8582945472736613,11771.806897631384,0,0.22553942481763734,0.9995,0.9639819909954978
S2,89,least-loaded-eligible,2000,1999,1999,0.8582211105553016,11772.285942456527,0,0.2255629724103432,0.9995,0.966983491745873
S3,89,ours,2000,2000,2000,0.8577760250000211,11867.902971823854,0,0.22582382608661156,1,0.98
S3,89,best-single,2000,479,479,0.8500000000000059,262921.61092841707,209582.72125008417,0.22983090137229623,0.2395,0
S3,89,cheapest-eligible,2000,2000,2000,0.8538891250000065,17394.816238566586,13014.502154432701,0.22655050196663565,1,0.342
S3,89,irt-router-style,2000,2000,2000,0.8649367750000199,247801.49250838798,197322.4247565155,0.22986972114745116,1,0.3965
S3,89,mixllm-style,2000,2000,2000,0.8613328750000238,17394.816238566586,13014.502154432701,0.22623235682500206,1,0.7835
S3,89,openrouter-performance-style,2000,2000,2000,0.8597058250000251,11871.969967906849,0,0.22578202284334084,1,0.978
S3,89,least-loaded-eligible,2000,2000,2000,0.859619225000025,11871.969967906849,0,0.2257889900601668,1,0.98
